,x,y,button,time
0,578,253,left,1.4455668926239014
1,625,334,left,0.811751127243042
2,208,460,left,2.486727237701416
3,220,199,left,10.15938925743103
4,580,325,left,1.691938400268555
5,624,326,left,0.4101624488830566
6,665,402,left,0.8794498443603516
7,142,253,left,1.3671810626983645
8,193,250,left,0.6174898147583008
9,494,55,left,1.4578499794006348
