,x,y,button,time
0,627,253,left,0.4409399032592773
1,282,431,left,1.2865991592407229
2,234,195,left,49.45620512962341
3,630,247,left,1.7622075080871582
4,94,298,left,1.1637191772460938
5,490,44,left,1.1930382251739502
