,x,y,button,time
0,225,267,left,0.7054903411865234
1,272,307,left,6.311704149246216
2,295,176,left,9.253784170150757
3,310,184,left,11.0562052726745604
4,307,132,left,5.008121004104614
5,258,133,left,9.66885422706604
6,594,108,left,4.88557901382446
7,97,198,left,6.277031888961792
